,username,userid,time,id,text,davidson,waseem,fountana
0,James Woods,@RealJamesWoods,31516201.0,1228019269234872320,"Has anyone either verified, or conversely, debunked this video from China? What actually is happening here? Does anyone actually know? https://twitter.com/BeholdIsrael/status/1227570288071716864/video/1…  ",0.24619695296686064,0.22582345015443803,0.06668110000000001
8,Huey,@716Huey,1581597824.0,1228019269234872320,"Replying to @RealJamesWoods  California lab says it discovered coronavirus vaccine in 3 hoursAn American biotech company says it created a coronavirus vaccine three hours after getting access to the virus' genetic sequence on Jan. 9, and now scientists are racing to get the vaccine on the...foxbusiness.com ",0.02438647478263733,0.3767787676148388,0.025923505
222,Jon Smart,@jonsmart12,1581597832.0,1228019269234872320,Replying to @RealJamesWoods IDK man but it’s scary!  ,0.6479822087631611,0.1901760970319403,0.040736699999999994
223,Fabio J Bacha,@FabioJBacha,1581597841.0,1228019269234872320,Replying to @RealJamesWoods Umbrella corporation James..in a few weeks will be in FAMILY GUY episode  ,0.016257105168865083,0.16918123761120973,0.01540599
1,Peevish Primate,@PeevishPrimate,1581597846.0,1228019269234872320,"Replying to @RealJamesWoods I know the audio doesn't match the video.  Those people don't flinch at all, from the gunshots.  ",0.07297511390343166,0.2193648478558665,0.035043765
14,Shanna Dugan,@ShannaDugan,1581597856.0,1228019269234872320,Replying to @RealJamesWoods What in the actual F   ,0.23926492316337825,0.26705953280027056,0.04999167
224,Vanilla,@birb249,1581597873.0,1228019269234872320,"Replying to @RealJamesWoods so a second holocaust is happening, huh?  ",0.1345876908035731,0.14101246847146107,0.02672447
9,DotHardy ,@dothardy,1581597894.0,1228019269234872320,Replying to @RealJamesWoods @glennbeck on his show this morning said it’s Fake.  From a movie I think he said ... half listening at work.  ,0.09547134018069604,0.4120520665747364,0.0338445
198,Navin,@Migrainz71,1581597968.0,1228019269234872320,Replying to @RealJamesWoods   ,0.1676104828261104,0.03352323163434365,0.013769491000000002
16,Tina,@TIna_Lou213,1581597992.0,1228019269234872320,Replying to @RealJamesWoods The first part is from a movie and the lady laying on the sidewalk was hit by a car. Heard it on Glenn Beck earlier.  ,0.06996413962015552,0.4281192450141984,0.01986523
2,Brett Pike M.Ed. - CEO Classical Learner,@ClassicLearner,1581597992.0,1228019269234872320,"Replying to @RealJamesWoods The truth about Coronavirus is we have no idea what is happening: 

1. The media/ CDC cannot be trusted because they are bought off by Big Pharma. 

2. The Chinese government can’t be trusted because give me a break. 

3. Grass roots videos can’t be authenticated.  ",0.25150709686730943,0.6090217250031005,0.046634287
17,Freedom or Bust,@t_rats91,1581598001.0,1228019269234872320,Replying to @RealJamesWoods Why are the markings on this vehicle blurred out and not the police car at the beginning?  Very suspicious.  ,0.05558821024752437,0.28265375958636346,0.015838424
7,LiSa,@LittleLisa1030,1581598016.0,1228019269234872320,Replying to @RealJamesWoods I don’t know all I know is im so HAPPY to live in the USA!!!   ,0.06490059136216196,0.12160666183113696,0.03616367
161,K.D.C. ,@kimberlyC74,1581598094.0,1228019269234872320,Replying to @RealJamesWoods I don’t think the Chinese use the American alphabet in their vehicles. Plus.. the body on the ground looks like a prop.  ,0.2853870986411476,0.4082443172965312,0.0228084
18,Mitten,@MeInTheMitten,1581598145.0,1228019269234872320,"Replying to @RealJamesWoods Would be helpful to know the truth, but can anyone trust China?  ",0.03242580750711555,0.3030149061505878,0.015009868
227,deplorablem1ke,@deplorablem1ke,1581598186.0,1228019269234872320,"Replying to @RealJamesWoods If the line is too long..

Just cough and say ""Damn this cough is the worst since I got back from China.""  ",0.4938180291699318,0.31210309660764324,0.029714462999999997
154,SurgRN,@surgrn123,1581598305.0,1228019269234872320,Replying to @RealJamesWoods Why does every female in these videos wear PINK ?  That’s strange too !!!  ,0.0591317630719165,0.4973201192689948,0.08639929
160,FreedomIfYouCanKeepIt ,@ksanton63,1581598380.0,1228019269234872320,"Even if no gunshots, they still are carrying weapons.   ",0.593170614811023,0.2186206963582505,0.044408906
228,Vegas Native,@VegasNativeToo,1581598412.0,1228019269234872320,Replying to @RealJamesWoods Follow @Michael_Yon  He is a war correspondent who covered Hong Kong until China kicked him out and is currently in Asia. He gives a frightening view from Thailand .  ,0.09473893022043413,0.5625843480505469,0.012640116000000002
200,SummerSnow,@BleedinOrDyin,1581598772.0,1228019269234872320,"Replying to @RealJamesWoods What the hell is in that box?! (notice the suitcase they shove back in...it's not theirs)

https://twitter.com/KTHopkins/status/1226116186368356353?s=19… This Tweet is unavailable. ",0.9945509973368682,0.34132160497546565,0.02814267
210,Vicky,@VickyODonnell01,1581598807.0,1228019269234872320,"Replying to @RealJamesWoods Someone who’s seen this said they’re not chinese but speaking Malaysian? Also, they’d detain (or worse) anyone captured filming this so serious doubts. As others have said though, there’s so much more sinister goings ons behind China’s closed doors. I dread to think tbh  ",0.019930582576839453,0.3271029714968588,0.06321567
147,Gemstone,@Diamondruby246,1581598999.0,1228019269234872320,"Replying to @RealJamesWoods These videos are coming from WeChat,  the Asian alternative to FB. Yes, a majority are real, and absolutely terrifying.  ",0.7015313083446999,0.2495177837478201,0.020197937
229,Tribulation Man,@TribulationMan,1581599426.0,1228019269234872320,Replying to @RealJamesWoods Looks like one payer system government healthcare rationing.  ,0.003883680084999854,0.1355348116257213,0.030400312000000002
148,John Scott,@DiddlySquat51,1581599916.0,1228019269234872320,"The majority are fake. That is, given a different context to what's happening. Not even well done. This is 3 mashed together from different times.  Mudfke one firecrackers, last one no masks and bike accident. See damage. On long version see the crumpled bike.  ",0.09378530067426534,0.3741509966417008,0.020578325
19,Pres-Elect Tricia Stall,@moralsdomatter,1581599940.0,1228019269234872320,Replying to @RealJamesWoods   ,0.1676104828261104,0.03352323163434365,0.013769491000000002
162,John Scott,@DiddlySquat51,1581600131.0,1228019269234872320,"Yes they do, no it isn't and it's still fake. 3 videos mashed from different places at different times. Not even any masks in the last one. Which is road traffic accident  ",0.9308056203549654,0.33359613952456796,0.12981032
4,CGX47275ILLUSTRATIONS(Vet),@cgx_47275,1581600186.0,1228019269234872320,Replying to @RealJamesWoods   ,0.1676104828261104,0.03352323163434365,0.013769491000000002
249,Miguel 8.7% PIB Magán.,@MMagan82,1581600310.0,1228019269234872320,"Replying to @DiddlySquat51 @dothardy and 2 others I agree that the sound and reaction does not match gunfire at all. But still, the 1st part, with what seem to be medics with weapons is deeply disturbing. You say they are SWAT, but I see medical overalls rather than body armor?  ",0.02025348469502279,0.6077254186847477,0.062112994000000005
212,"Linda Suhler, PhD",@LindaSuhler,1581600909.0,1228019269234872320,"Replying to @RealJamesWoods I personally am mistrustful of videos coming out of China without adequate verification. There is such a mix of truth and distortions that it’s impossible to sort them out. It is a good question that you posed, Mr. Woods.  ",0.0015257449630653092,0.5136648345010977,0.020557584
230,GOT WOODS (James),@deanlandstudios,1581600921.0,1228019269234872320,Replying to @RealJamesWoods Agenda 21 perhaps :) https://youtube.com/watch?v=bMeXSlGJZYc…  ,0.2297316223656012,0.05238278753241072,0.02110334
213,Vice President Elect Sara Brown,@oreo078073,1581601230.0,1228019269234872320,Me too. They would never allow something like this to get out.  ,0.32464770460104503,0.06659774533584151,0.10968339999999999
21,The Katz,@THE_KATZ,1581602255.0,1228019269234872320,"Replying to @RealJamesWoods Well James, dudes in hazmat suits with guns......I dont think they are going to the shooting range. 
I believe @XHNews kills their own GIF ",0.5449833839487297,0.4362102467769148,0.04360242
199,xxxxposed,@xxxxposedpubg,1581602573.0,1228019269234872320,Pretty sure Raccoon has 2 c's.....  ,0.2964484514900938,0.15621302697890987,0.13597457
201,Amastris,@AmastrisDratwka,1581602698.0,1228019269234872320,".Chinese know what it is.  It's called a metal hot box.  They also use it when they capture stray animals.  The fact that your citizens understand what they're seeing is a sign that this kind of thing happens often, & people just accept it.  ",0.04280364358611121,0.4772686824287943,0.036192942
164,President-Elect Livefreeordie,@Livefreeordie04,1581603245.0,1228019269234872320,Replying to @RealJamesWoods They don't even look like Chinese the ones with the guns they are taller and heavy  ,0.2156380477936586,0.2530019154975177,0.21111146
156,Roy,@RCs_ACMan,1581603323.0,1228019269234872320,Replying to @RealJamesWoods Looks Bogus..  ,0.06426173612436703,0.09672489765447186,0.027664402
218,SummerSnow,@BleedinOrDyin,1581603411.0,1228019269234872320,"No one asked what it was....and who are you referencing with ""your citizens""?  ",0.6481487176892958,0.3347500518146809,0.057262212
22,Arvai The Alex ,@Arvai19,1581604399.0,1228019269234872320,"Replying to @RealJamesWoods  Quote TweetOn Demand News@ODN · Feb 13A second citizen journalist reporting on the coronavirus epidemic in Wuhan has disappeared, amid tightening controls on information in China.

#Coronavirus #Wuhan #China ",0.0037279278372514962,0.4639119945350462,0.024426091
