,username,userid,time,id,text,davidson,waseem,fountana
0,Donald J. Trump,@realDonaldTrump,31516201.0,1315836801354027008,WH Physician: Donald Trump Now Testing Negative for Coronavirus https://breitbart.com/politics/2020/10/12/white-house-physician-donald-trump-now-testing-negative-for-coronavirus/… via @BreitbartNews WH Physician: Donald Trump Now Testing Negative for CoronavirusA White House physician on Monday announced that President Donald Trump had tested negative for coronavirus on consecutive days.breitbart.com ,0.37555514539839263,0.3037061523470049,0.06789625
9,manav,@manavjivan,1602535129.0,1315836801354027008,"Replying to @realDonaldTrump and @BreitbartNews 22 days to go...
Biden's lead in polls is standing tall...

Trump's body language says he is  worrisome and vulnerable. Spamming Twitter. 

Debacle waiting in the wings. From manav ",0.06489916438819524,0.4061171075752851,0.015862087
149,Soviet Sergey,@SovietSergey,1602535144.0,1315836801354027008,Replying to @realDonaldTrump and @BreitbartNews   ,0.15918609129184555,0.09528882623420096,0.015873048
69,Trump Weather Service,@realtrumpweathr,1602535145.0,1315836801354027008,"Replying to @realDonaldTrump Current: Category 2 Tweetstorm; 1% chance Donald Trump posted this himself.

This is tweet number 152 mentioning COVID-19 from Donald Trump -- 152 since inauguration.  ",0.008765550745067859,0.1444054639527901,0.01900627
29,koopa,@koopa50666700,1602535148.0,1315836801354027008,Replying to @realDonaldTrump and @BreitbartNews  GIF ,0.14723178404292606,0.20192176198219736,0.0145596005
14,Andrew Rudick,@andrew_rudick,1602535160.0,1315836801354027008,Replying to @realDonaldTrump and @BreitbartNews Where are your test results? What are you afraid of?  ,0.5623364827996611,0.2573075357097349,0.025189722
10, Merrill - sheltering at home ,@MerrillLynched,1602535162.0,1315836801354027008,Replying to @realDonaldTrump and @BreitbartNews We don’t believe him or you!  ,0.30128760045705977,0.2931759009844516,0.39087075
150,e-beth,@ebeth360,1602535165.0,1315836801354027008,Replying to @realDonaldTrump and @BreitbartNews Great news!!  ,0.03586111970254961,0.19764192353099766,0.013484504
173,Jarrett Bellini,@JarrettBellini,1602535168.0,1315836801354027008,"Replying to @realDonaldTrump and @BreitbartNews ""Donald, let's still sleep 300 feet apart just to be safe.""
- Melania  ",0.00818353477326151,0.30700597213131864,0.04369935
15,Shawn Griffin,@509ShawnG,1602535179.0,1315836801354027008,Replying to @realDonaldTrump and @BreitbartNews   ,0.15918609129184555,0.09528882623420096,0.015873048
174,JM  #DemCastWI  ,@JLinMiller,1602535183.0,1315836801354027008,Replying to @realDonaldTrump and @BreitbartNews   ,0.15918609129184555,0.09528882623420096,0.015873048
135,oregon4TRUMP,@shawgerald4,1602535186.0,1315836801354027008,Replying to @realDonaldTrump and @BreitbartNews November 3rd  ,0.10809659271376627,0.1913278401331161,0.029946411000000003
2,RD,@real_defender,1602535191.0,1315836801354027008,Replying to @realDonaldTrump and @BreitbartNews President Trump has tested negative twice now. Talk about an amazingly fast recovery. The media is fuming over this.  ,0.0442166848429064,0.2643524644298213,0.100917436
3,Allen Sutton,@StewardshipAmer,1602535192.0,1315836801354027008,"Replying to @realDonaldTrump and @BreitbartNews Thanks to the Lord, for He is good. Let us exalt His name forever. Blessings to you, President @realDonaldTrump ~  ",0.004205087984437374,0.3611116238898357,0.01150187
