username,userid,time,id,text,davidson,waseem,fountana
Jason Overstreet ,@JasonOverstreet,31516201,1015360143532277760,".@realDonaldTrump 

So, Obama is awful

Hillary is awful

Maxine is awful

McCain is awful

Bush Sr. is awful

Pelosi is awful

Schumer is awful

Mueller is awful

Rosenstein is awful

But PUTIN is FINE????

Take your fat, orange, women-hating, racist, traitor ass to hell.  ",0.9568229214092987,0.5172737096595615,0.75499237
Deon Dekelaita,@DeonDekelaita,1530896081,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump Agreed!  ,0.16695896142999872,0.13220248044642585,0.017087601
Priscilla Crow #TeamPelosi,@PrissyCrow,1530897342,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump Perfect!  ,0.04962995979616503,0.15840696819731404,0.017556278
Liz Russell,@Echo809,1530899019,1015360143532277760,Replying to @JasonOverstreet @IngGuthrie and @realDonaldTrump   ,0.15382431721932865,0.19468657876713816,0.012689576
Nash,@BobGree77811254,1530899087,1015360143532277760,Replying to @JasonOverstreet @GatesKeith and @realDonaldTrump You missed some  ,0.34579363838477406,0.2912690977955255,0.016466685
Nash,@BobGree77811254,1530899103,1015360143532277760,Replying to @JasonOverstreet @GatesKeith and @realDonaldTrump @realDonaldTrump  ,0.1637884262394745,0.2925678887534461,0.009033118
Nash,@BobGree77811254,1530899108,1015360143532277760,Replying to @JasonOverstreet @GatesKeith and @realDonaldTrump @POTUS  ,0.09975821486157158,0.2925678887534461,0.00985649
Nash,@BobGree77811254,1530899115,1015360143532277760,Replying to @JasonOverstreet @GatesKeith and @realDonaldTrump #POTUS  ,0.12150493197460814,0.334863525067996,0.009609956
carp40404,@carp40404,1530899780,1015360143532277760,"Replying to @JasonOverstreet and @realDonaldTrump I hope soon u will be able to join Manafort and u can lead a rebellion against an army of cockroaches, God bless America.  ",0.0011088141506880856,0.5192236160311186,0.3334818
Rich E. ’Dugan,@AtheistGrace,1530899891,1015360143532277760,Replying to @JasonOverstreet @IngridTwinkie and @realDonaldTrump There's a lot more on that pee pee tape than just pee pee.  ,0.0025997027512765472,0.19211058966961667,0.20079829
hypatia ,@holdavision,1530901192,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump I get this is trump. Always has been. What I don’t get is the f**king GOP! They know what is going down and don’t give a damn.  ,0.6032440331292466,0.2890756391359886,0.8840125
"Keep going,be all in!2020 is coming-!",@filly0864,1530905121,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump And stay there!  ,0.2816940059023701,0.12074133194877565,0.020674236
Kiki the Chihuahua ... Bye Moron,@Kiki_Chihuahua,1530905374,1015360143532277760,Replying to @JasonOverstreet @ProgDemLib and @realDonaldTrump Trump is a racist cuck  ,0.6414507110864502,0.5472175186554894,0.3873133
ESB BASEBALL #Resist ,@esblbaseball,1530906414,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump word  ,0.10776387786733048,0.20372792755009597,0.023008257
Luna,@LunaMar66,1530906621,1015360143532277760,"Replying to @JasonOverstreet @premordial_soup and @realDonaldTrump Your wrong they all have ""Lowest IQ""  ",0.5647625955778709,0.3980618515060421,0.05501762
Mary Rose #IDissent,@Beutifulgame,1530906669,1015360143532277760,Replying to @JasonOverstreet @marc_michales and @realDonaldTrump And Jim Jordan is a good guy!  ,0.08638660800904234,0.42593117699149546,0.017202148
Jax,@JaxsonAgincourt,1530906711,1015360143532277760,"Replying to @JasonOverstreet and @realDonaldTrump Well, that pretty much tells the story. Any American leader is awful. Any Allied leader is awful. Dictators are fine. Especially Putin. 

Wake up America!  He's a Russian asset, not a President.  ",0.0002861403438700233,0.6403718641897892,0.74521005
William Colby-Newton,@BillColbynewton,1530906757,1015360143532277760,Replying to @JasonOverstreet @tjbogart33 and @realDonaldTrump AMEN AND AMEN!  ,0.19176944202966925,0.2541099776282305,0.01998971
brownie johnston,@BrownieJohnston,1530906965,1015360143532277760,"Replying to @JasonOverstreet @marc_michales and @realDonaldTrump Nice work, Jason.  ",0.0915686822180135,0.22034842597533505,0.016425729
Michigan Voter,@1MichiganVoter,1530907879,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump This is the truth!!  ,0.07964070314633809,0.18722556664131368,0.027009942
Marvan,@sactomarvan,1530907959,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump NICE!  ,0.09529579949474706,0.116387659746703,0.0260054
Ronnie Price,@redwardprice719,1530908470,1015360143532277760,Replying to @JasonOverstreet @PamelafBrockman and @realDonaldTrump And I approve This Message.  ,0.06514252484591589,0.15634457069116278,0.013664847
Algomalo,@algomalosky,1530908536,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump I will second that  ,0.17100754997951098,0.12452815712613226,0.017187547
Cranky Beverly...I hate meetings,@ChildPleez007,1530908725,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump Perfect!  ,0.04962995979616503,0.15840696819731404,0.017556278
Carla Ingraham ,@ccingraham,1530909202,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump  GIF ,0.1621172804831567,0.20192176198219736,0.014130893
U Cant Hndle Truth,@aacost3,1530909276,1015360143532277760,"Replying to @JasonOverstreet and @realDonaldTrump In the meantime while Trump waits to go to hell, he can take his racist comrade ass to Russia and wait there with Putin.  Trump is a traitor.  ",0.9961767615121087,0.3623752333716125,0.86926454
donnamay,@donnamay111,1530909438,1015360143532277760,Replying to @JasonOverstreet @DavePrawnpig and @realDonaldTrump   ,0.16924405431977949,0.19468657876713816,0.011844841
WhoIs,@BCdoGOOD,1530909813,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump   ,0.17503212842559354,0.09528882623420096,0.01542755
Martmane,@Martmane,1530909815,1015360143532277760,Replying to @JasonOverstreet and @realDonaldTrump He needs to take his Russian loving ass back to the Soviet Union with his Russian wife and ex wifes and Nazi children  ,0.8171208449706757,0.34714927196476725,0.83054966
Michael,@glpiman,1530910332,1015360143532277760,Replying to @JasonOverstreet @JudyWinfree and @realDonaldTrump   ,0.1613855199797548,0.19468657876713816,0.013707079
Kami Lloyd ,@LloydKami,1530910750,1015360143532277760,Replying to @JasonOverstreet @vancitydan and @realDonaldTrump Don't forget what a fine man Pruitt is and what a great job he did  ,0.5222017250668743,0.6050996045677601,0.013894739
Genevieve #LuciLove,@MaryMar15816402,1530910762,1015360143532277760,"Replying to @JasonOverstreet @TedLorenz and @realDonaldTrump That how Trump knows.... he escaped from Hell and we need to throw him back from where he came from. 
#Resist  ",0.8989329333947148,0.5164109883402532,0.071656644
