,username,userid,time,id,text,davidson,waseem,fountana
0,Tom Cotton,@SenTomCotton,31516201.0,1245151593500217350,Good for @TuckerCarlson for bringing attention to a study by *Chinese* scientists about the origins of the China virus. Not what you’ll hear from MSM. 2:04339.8K views ,0.3936505773208217,0.5407819798487429,0.12854941
66,MaxP,@MaxP3594515,1585682464.0,1245151593500217350,"Replying to @SenTomCotton and @TuckerCarlson  Quote TweetMaxP@MaxP3594515 · Mar 31, 2020From January 3 to 15, China officially reported coronavirus cases number has not increased, which remains at 41

https://wuhanmemo.com/?page_id=230929Show this thread ",0.2416412553163399,0.2567919047143933,0.024739286
7,SF Concierge,@SFConcierge,1585682468.0,1245151593500217350,"Replying to @SenTomCotton and @TuckerCarlson Why are you such an ass, Tom?  ",0.9810521268649226,0.3228224512616583,0.84184647
67,MaxP,@MaxP3594515,1585682476.0,1245151593500217350,"Replying to @SenTomCotton and @TuckerCarlson  Quote TweetMaxP@MaxP3594515 · Mar 21, 2020They completely destroyed the seafood market and let army took control the WuHan P4 virus LAB. Then they published an INTERESTING DocumentShow this thread ",0.006144631803895171,0.3412032920168977,0.029773615
69,MaxP,@MaxP3594515,1585682515.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson https://twitter.com/edmund43915807/status/1242938856627826688?s=21… This Tweet is unavailable. ,0.6305217177620923,0.09949563162035592,0.018900435
70,John Hadidian,@JDHadidian,1585682560.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson Level 4 Lab Techs went to the Wuhan Market for lunch and the horseshoe bat Wuhan Virus ate our lunch?  ,0.04938383923221348,0.3514034876001963,0.0238632
8,Micah Williams,@WilliamsMicahT,1585682562.0,1245151593500217350,I’m sure there’s plenty of people in your bubble. Why comment on his feed?  ,0.2875414982873846,0.106091550235658,0.094342224
71,JohnnyU,@JohnUlicny,1585682588.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson Was an outstanding piece!  ,0.10448192588441094,0.09930481979209227,0.028635236
11,Bill Reece Dale  ,@BillReeceDale,1585682590.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson Y'all down in R-kin-saw dont know the correct name for this virus? That right?  ,0.3859029552123997,0.29975748946584857,0.22288032
72,Austin Millbarge,@Labredorresults,1585682599.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson https://youtube.com/watch?v=-T9vlpC0bRo&feature=youtu.be&fbclid=IwAR3CdLv9W0T4CD94M4Wwbw8HRlbthf5B_22_TVq7_H4rORH99oC3TrlY6pk…  ,0.9938620590085118,0.1707426607091125,0.015897004
73,LynneTXAM,@lynnTXAM,1585682634.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson I’ve been saying this for weeks. Not from the wet market.  ,0.11597008350752508,0.1703413308771369,0.04225113
74,clsb,@clsb13,1585682639.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson Awesome segment.  ,0.05003037409747285,0.1517494461056893,0.01937907
13,Umaru,@wispering4you,1585682644.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson   ,0.13762248521074136,0.09528882623420096,0.1089656
75,carl bajada,@carlbajada1,1585682649.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson Tucker is the best along with Sean H and Laura I.  ,0.01137530659224273,0.2574957257463703,0.02254386
15, Chris Parry ™,@ChrisParry,1585682689.0,1245151593500217350,"Replying to @SenTomCotton @BillLee85 and @TuckerCarlson Racist and wrong all in one tweet. 
Good job, cottonmouth.  ",0.1569168976544746,0.2771776092357532,0.04002262
76,Nolaughing Matter,@nolaughingmatt2,1585682724.0,1245151593500217350,"Replying to @SenTomCotton and @TuckerCarlson I thought the virus came from a biochemical lab in Wuhan...tough to keep up with these conspiracy theories Tom. Senator Tom Cotton Repeats Fringe Theory of Coronavirus OriginsScientists have dismissed suggestions that the Chinese government was behind the outbreak, but it’s the kind of tale that gains traction among those who see China as a threat.nytimes.com ",0.00010984081125091923,0.6198862467267601,0.024501582999999997
77,𝕛𝕚𝕞𝕞𝕪𝕠,@jimmyotx,1585682742.0,1245151593500217350,"Replying to @SenTomCotton @JohnCornyn and @TuckerCarlson Cotton & Corn, focused on the wrong shit.  ",0.9857456139678228,0.22394726779124485,0.11138197
9,S A L,@_stylan,1585682789.0,1245151593500217350,I mean he is asking a legitimate question.  ,0.0618305617228505,0.1689887837677268,0.05604613
78,,@trouseredapes,1585682790.0,1245151593500217350,"Replying to @SenTomCotton @All100Senators and @TuckerCarlson If : lab fallout/incident/event :: does not equate to any intentionality 

Necessary Contextualization :: Such Labs exist :: research labs :: high containment labs :: etc...  ",0.010332892757160692,0.3530590378718041,0.015757589
81,Rob Mayes,@robcmayes,1585682793.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson Wow wow wow  ,0.20193665261154026,0.07893607581751877,0.026050594
18,daniel S,@dsalmeron1,1585682808.0,1245151593500217350,"Replying to @SenTomCotton and @TuckerCarlson Learn some other science WHO issues best practices for naming new human infectious diseasesWHO today called on scientists, national authorities and the media to follow best practices in naming new human infectious diseases to minimize unnecessary negative effects on nations, economies and...who.int ",2.427611204008823e-07,0.6862688400411446,0.032202493
82,Barricade,@Kyredwood,1585682812.0,1245151593500217350,Replying to @SenTomCotton @JohnCornyn and @TuckerCarlson Okay? What does this change about our current circumstances?  ,0.25633364896456484,0.2888217190787635,0.02112466
22,Paul Maranto,@paulmaranto,1585682819.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson We already know where it comes from! Nothing will be done about it because China owns the US! The US is China's Bitch and they very clearly proved that!  ,0.9670510527896304,0.5709569247611589,0.8779764999999999
1,Scott Robertson,@scottkatie2000,1585682832.0,1245151593500217350,"Replying to @SenTomCotton @JohnCornyn and @TuckerCarlson Got to keep deflecting from the utter failure of this President.  Especially foreign policy:  China, Iran, NK, Saudi Arabia, Afghanistan.  All failures.  ",0.2275090989709463,0.4128257113031685,0.20533085
83,Nikki ,@Chaffeelander,1585682866.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson  GIF ,0.1270428519997989,0.20192176198219736,0.082630835
84,David Gustof,@Gustof1966,1585682883.0,1245151593500217350,Replying to @SenTomCotton @JohnCornyn and @TuckerCarlson Desperation calls for desperate measures. Like lying. You guys are so screwed.  ,0.3871448931559717,0.3109833732022111,0.8476471
85,太阁猫  ,@FGOmashKyrie,1585682904.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson It's bio-weapon developed but not yet fully completed by China.  ,0.017474960421456232,0.2815634181042108,0.017764375
2,Lodestar Covfefe,@JoeRoche,1585682941.0,1245151593500217350,"Replying to @SenTomCotton and @TuckerCarlson BIGLY STABLE GENIUS HAS BLOOD ON HIS TINY HANDS SO SCARECROW SON-IN-LAW CAN PANDEMIC PROFIT. 

Sick. History will judge republicans VERY POORLY.  ",0.09766578903846834,0.3501442616146302,0.38737854
86,South of Oz,@NofCenter,1585682963.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson I dream of the day freakin U.S. Senators don’t use these entertainment “journalists” to push their narrative.  Including both sides.  Be a legit leader for goodness sake!!  ,0.008053091422981194,0.4275519274206248,0.28199062
87,Filipow,@filipowi,1585682977.0,1245151593500217350,Replying to @SenTomCotton and @TuckerCarlson This is the ultimate goal   ,0.11029704323457383,0.2017971416611574,0.013546988000000001
88,Thereal's Ark by Nina,@TherealArkHive,1585682992.0,1245151593500217350,"Replying to @SenTomCotton @JohnCornyn and @TuckerCarlson First, the BATS. Next, the JOKER. #NursesWanted #ComicRelief The following media includes potentially sensitive content. Change settingsView ",0.0019707182167420494,0.4086387753683505,0.030090552000000003
89,matteo di bernardo,@mat_10_d,1585683017.0,1245151593500217350,"Replying to @SenTomCotton and @TuckerCarlson You lot, @SenTomCotton @TuckerCarlson and @HawleyMO are kinda frauds for shifting all your attention from objecting to our governments bailout of big business to an intense need to prosecute China. I see what you did, and it's damn spineless. Thought more of you guys... let down  ",0.4995372294707837,0.6515847139819432,0.49723947
