,username,userid,time,id,text,davidson,waseem,fountana
0,Ashlee Allen,@AshleeDanceMoms,31516201.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump You do know twice as many people died from Tuberculosis last year and every year before that then Covid this year right?  ,0.0007290553408937026,0.4974779478442468,0.011720968
15,Disney Fan 1,@Tpafun1,1595498001.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Leading the way is trumpvirus Next up will be the trump stormtroopers running rapid in all the Democrat cities under the trump régime will kill American people. What about the same problems in the GOP run cities or dont they count under the trump rule. His Law & Order = Hitler  ,0.5119094157090375,0.6383935352187139,0.11899011599999999
2,Proud Antitrump Mama,@antitrump2020ma,1595887728.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump My 12 year old insisted we order these face masks  ,0.07383581311375761,0.5297902472446351,0.051395994
4,Todd Flanders,@flounda88,1595929388.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Can I ask you a real question??  ,0.4219706701585984,0.33720553219403954,0.01840639
70,Edie B,@EdieBxgood,1595961181.0,1285302525944455168,"Replying to @the_resistor @FmRebecca and @realDonaldTrump Annnnddd...THIS JUST IN...the vaccine will now be ready and  available to all on Nov. 3rd 2020 ...this particular vaccine however, only works to fully eradicate dt and actually lasts for an entire termVOTE BLUE to eradicate dt from me and from you  ",0.00089880625654025,0.5315534395300023,0.019024817
71,Marcus,@marshall_artes,1596350490.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump China did this.  ,0.12785975705078856,0.16780924853149246,0.53738093
72,The SUN  light purifies everything! at the end!,@TwittLoving,1596410840.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump Absolutely trump virus, if anything to call it in the US, is the trump virus mass death toll criminal negligence.  ",0.19229819998797704,0.34711180103578904,0.1316631
89,Fightinback,@fightinbacknow,1596581968.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump  GIF ,0.14022282920278936,0.20192176198219736,0.027058467000000003
90,Ray ,@expt___626,1596589170.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump It’s the China virus you fuckin idiot  leave this country   ,0.9686772628644164,0.3647904945225091,0.89269674
91,Xtrimp,@1x4r4p,1596617706.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump Please do not call joe biden 

But the people are made to be love  ",0.013357649982621466,0.4210021238748027,0.025584921
21,Xtrimp,@1x4r4p,1596617742.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump 62.3 mgh  ,0.16268716105966965,0.1833766991269248,0.026287166
92,SuperGirl,@HelenMatlock10,1596695968.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump Dear Resistor Not My Sister, I see you're still posting the same stale misinformed drivel about Covid-19 & Pres Trump. I've tried to enlighten you regarding your comments you keep slapping up here. So either you're a slow learner or you don't want to hear the truth. Shame on you!  ",0.7381438343765507,0.6284225002807206,0.049583367999999996
22,Anna Medina,@AnnaMed35233912,1596703986.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Amen!  ,0.14533710272956307,0.13742338289550265,0.03030483
3,Anna Medina,@AnnaMed35233912,1596704036.0,1285302525944455168,I like that mask  ,0.3524592239965369,0.053847812485512514,0.14985946
93,Anna Medina,@AnnaMed35233912,1596704347.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Trump could of had many of our votes had he stepped up when the pandemic hit even before it hit the U.S. and with the riots but he turned his back on the people and takes no responsibility. I remember him calling the virus a democratic hoax. What a joke. Drink clorox bleach lol.  ,0.9858949079065872,0.6965337977833425,0.06347155
94,Tisha LeeAnn Martin,@TishaMa01008873,1596718400.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Lady you are an idiot. Shut your mouth.  ,0.7282227642447793,0.5248028034619789,0.8048946
95,TheBlackFedora,@RealBlackFedora,1596732537.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump It is actually the corona virus. Get it right dumbass  ,0.6902641899184139,0.5051373760814211,0.88030225
96,Darrel,@naturalwire011,1596755295.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump The virus would have happened regardless who was President.some people are like there in the wizard of oz for sure I wish there was a third choice.but there's not .I can tell you this don't pay attention to the man behind the curtain say biden  ,0.6846768217014704,0.5300895252160334,0.089379594
97,Ali East,@AlEWcat,1596777809.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump  GIF ,0.14022282920278936,0.20192176198219736,0.027058467000000003
98,dsibley3,@daddidee3,1596792868.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump u get the dumbest statement of the year award. trump didn’t fund wuhan 3.5 million. trump isn’t the reason china owns 80% of the medical industry. trump didn’t commit 100 MILLION to CHINA. trump tried to close the boarders in JANUARY but fauchi advised him not to. DEBATE ME!!!!!  ,0.00016133868430868697,0.6416393852171951,0.031813007000000004
86,𝐀𝐥𝐥𝐚 𝐏𝐫𝐢𝐦𝐚,@EDT83651904,1596798524.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump It is the China Virus. In case you forgot. It is a world wide pandemic. 

I know you probably never left the VS but the world is larger than your lunatic assylum country. 
People everywhere in the world are dying. 

China and CHINA ALONE is 100% responsible for this pandemic.  ",0.13843768841077025,0.7386197032785963,0.09712405
99,YeZeta,@mamarrachotu,1596820007.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump  ok i lost my dog and Trump is also  responsible because I lost it, people like you is the real virus  ",0.6580351490930664,0.2543725160267513,0.09652021
100,Maybe a thought on that...,@DiablosAvocados,1596835288.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump You say the most biased and prejudicial things bless your heart.
Sorta funny, sorta frustrating...

Resist, with all your might Sis! Because hating on someone you dont agree with WILL definitely make you a better person for sure.  ",0.19448060106510054,0.5511029045905965,0.18198670000000003
101,Donald Ping,@DonaldPing2,1596853931.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump Incorrect, it's the Kung Flu virus that circles Trump into spinning, he is doing great at it  ",0.05192419530249225,0.2359435589668345,0.08504074
102,Bill Guenther,@BillGuenther3,1596867453.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump I’d rather be considered a fool than to open my mouth and remove all doubt  ,0.3330816359479035,0.2508255043041365,0.084054306
103,Ryan,@Ryan72497680,1596873832.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump America will be better when you delete your twitter account.  ,0.6156270100442667,0.15093771232707026,0.013590910500000001
104,cOLLIn,@ashinnnkusher,1596897119.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Lol I think the plague might have been a little worse.... don’t worry tho you’re gonna have 4 more years to complain so at least you should get some more twitter followers  ,0.9927488975625932,0.4327101229671309,0.07779581
105,Ale,@Aleus19,1596904398.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump @the_resistor You are the virus..I'm sure you are one of the people sitting down and waiting for the stimulus check, you and anyone similar you are the pandemic.  ",0.02892413462206749,0.3695746800681658,0.043500632000000004
106,MYucel,@MYucel01596644,1596943379.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump @the_resistor get your number straight snowball.. CDC comfirm death number was wrong %60 percent..#CDCLIED  ,0.2485127327209333,0.6036427158149896,0.064206935
107,Julia Randall,@JuliaRa67650004,1596953459.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Thumb down  ,0.1566733186760571,0.17509398225943462,0.030026074
28,Triggered SJW,@TriggeredSJW3,1596977990.0,1285302525944455168,BOT.  ,0.2302303413443789,0.03201722118325112,0.06505279
108,Aunarue Boo . Midtown Atl ,@AngelaAunarue,1597021588.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump Why are Democrats so mindless and extreme?  Can you think??  Can you just try?  For America, please.
Such a shame people like you can vote.  ",0.03146842181409338,0.6260841442755244,0.09969943
109,Oholysh!tballs,@OTballs,1597036275.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump You have got to be the biggest idiot that ever lived. Please do the right thing and spare the world from having to witness your sheer stupidity. x x
                   --  ",0.08937838766452062,0.5398945040250015,0.70776945
13,xxxxx,@RogerPa37808888,1597046067.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump I wish me a tzunami  GIF ,0.4510208020416782,0.17118041150898142,0.023654496
110,letmehaveasay,@letmehaveasay1,1597056395.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump WHAT HAPPENED TO TRUMP'S EYES??? DOES HE HAVE THE VIRUS? IS HE SICKLY?? HE LOOKS IT.  ,0.6519052308279604,0.283904674998438,0.23785844
23,Demon the ultimate Super Saiyan,@chosenone2004,1597059591.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump That's what I called coronavirus too a trump virus better than what Donald Trump calls  the coronavirus.  ,0.05824160119469025,0.35350831768394825,0.046070915
111,Robbie farber,@FarberRobbie,1597063126.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Your just a sad person ! You need help  ,0.14588858855541234,0.2270858000096637,0.041026633
112,Jim Davis,@JimDavi99066144,1597085171.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Xxxxx  ,0.17944576467010045,0.07456103763730514,0.041681346
113,Alan Baker,@High_Impact_67,1597123029.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Hey Toots get it correct.  It’s the Wuhan Virus ....it originated in Chy Nuh  ,0.15551827207881594,0.57117217154345,0.032453768
114,Jim Davis,@JimDavi99066144,1597123541.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump Get a Trump job so you can get,off welfare.  ",0.2942529633018139,0.3764732604302311,0.037093244
115,Thatguy83,@Thatguy836,1597183785.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump It's the Democrats virus. Had Pelosi & Schumer put the American population before the impeachment trial back in November when they first heard about the virus or in March whin biden said get out and vote or Pelosi in China town saying come on down it's safe..  ,0.000557810403074404,0.8027752847338306,0.058421127
116,QUARTZ,@slidedamaone,1597249049.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump It came from China dumbass. Are you retarted or something  ,0.4535304583313615,0.3473240092711282,0.6184745
117,Kccn,@Kccn19,1597253002.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Chinese CCP Party Are you ??  ,0.12721100156513046,0.2729390530718845,0.022923449
118,cat,@cat39792818,1597271825.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump U r sick! If u need to live in a communist country, please LEAVE AND CHOOOSE CHINA, VENEZUELA, CUBA OR WHEREVER U CAN. ILL GLADLY PAY FOR YOUR ONE-WAY TRIP.  U WILL KISS THE GROUND OF AMERICA IF U EVER WAKE UP FROM THE CHINA ZOMBIE VIRUS THATS AFFECTED YOUR SOUL...  ",0.6494478694785899,0.6647455222846578,0.06951699
119,肖斌,@Sakura_xiaobin,1597325855.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump I’m a Chinese,i think you are wise! I see Many Americans are rational  ",0.06213456300629777,0.4348677576526303,0.058800977000000004
5,Ann Rother,@AnnRother,1597326332.0,1285302525944455168,"Glad I'm Independent.
Only no one runs Independent anymore
I see both sides except-
Anyone who likes China-who arrested a pro-democracy news editor last week(who'll disappear like 1000s of others have) is mad.
China's always scared the h*** out of me  ",0.4724427800254512,0.4330150813281732,0.43820304
1,Ann Rother,@AnnRother,1597326753.0,1285302525944455168,"China is secretive.
They could have made this as a bio weapon for all we know...
&What about the seed packages people are getting from China?
&Last week the pro-democracy news editor they arrested will never be seen again...  ",0.059993907747899235,0.5858921986739524,0.11639903
79,Ann Rother,@AnnRother,1597326967.0,1285302525944455168,"Thanks for the laugh--
Thats good...  ",0.09359462351346756,0.14314396464723456,0.024829182999999998
87,Geek Steve,@AnArtfulPenguin,1597330927.0,1285302525944455168,"There are so many people that are clueless & state INCORRECTLY the US has the worse of the coronavirus.  

Taking into account population, last column, the US is barely in top 10.

People have praised Europe as doing amazing.
5 EU countries are much worse than the US.  ",0.028073414877653226,0.4517032381387425,0.059687
120,AM Studios,@armyd68,1597331512.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump OK this is why no one takes u seriously.  We all know China did this probably for power.  One day soon u will get your wish and then repent.  He will have for 4 more years economic boost and no one will remember U.  ,0.00475029946191509,0.5510093531381712,0.023713415
24,TGBTG52,@AnarizaGrush,1597332062.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump I don't think so  ,0.021543398027426542,0.1466555553037024,0.059970472000000004
121,Doug Broman,@DougBroman1,1597334511.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump 250 k deaths .out of 328 MILLION..  ,0.14936831774263631,0.3930399242106053,0.037792727000000005
122,G. W. Green,@GWGreen5,1597338333.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump What a crock of lying garbage. The statistics are a lie. The left is using this nonsence to make our immune systems weaker. Don't take the vaccine or the mark. Bates ID 2020.  ,0.9604288272919228,0.5190318665783501,0.021426825
123,LagunaWellnessGirl - Stephanie Meagher,@lagunawellness,1597341840.0,1285302525944455168,Replying to @the_resistor You’re so ignorant and hostile   ,0.4874586450248905,0.11649947066852642,0.88828677
124,Bob,@Bob02619486,1597342721.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Like Batak Hussein?  ,0.14823353907257925,0.20929053733786432,0.04311255
125,garcia12345678,@garcia123456787,1597394163.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump You’re retarded  ,0.6999598370858037,0.1471101873078501,0.6510005999999999
126,garcia12345678,@garcia123456787,1597394243.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Liar  ,0.4620626461314154,0.24209253057673494,0.058174103
127,Louis Ireland,@LouisIreland1,1597458123.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump No it's not, you ever heard of things called Smallpox, Spanish flu and even HIV? Say the truth, don't just day what you think will get you attention.  ",0.12177942117889767,0.5577238464340996,0.21524458
128,Laurel,@Laurel16573288,1597487588.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump You are a cancer to society resistor  ,0.14625588723852675,0.24460077526918925,0.029792272999999998
129,Mr.B,@MrB_666,1597561061.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump @JoeBiden can't answer any questions that is not written down to him beforehand. He is demented, old, tired and dumb. He will never be president.  ",0.24934301372047876,0.6684116194259178,0.10841731
130,David T,@DmSpartacus9,1597564270.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump And there you go ... your a globalists  Go Trump 2020 Or Cry  ,0.3828987556361896,0.5786208478311842,0.13052225
131,You can’t handle the truth,@mitsch_mike,1597596884.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Resistance? #thelobotomysquad Truly the most unpatriotic group of Simpletons in American history. The ages of History will never remember thier Existence!  ,0.0009403225536575227,0.5031861243659833,0.06092473
132,You can’t handle the truth,@mitsch_mike,1597597057.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump Take your phony math, with your ignorance, and Complicity! back home for a study group in mommy’s basement. A failed generation of sloth’s.  ",0.043294001054536485,0.5145861130398536,0.32805791
133,Retro,@Rxtro_Skully,1597637330.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Shut up dumb hoe  ,0.9974603228202578,0.41351474798373705,0.21962982
134,Eagle24,@Eagle24_,1597657092.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump The virus wasn’t preventable and it was China’s fault not Trumps .Trump has done more for the American people than any President. People want to put him down but they can’t come up with one legitimate thing he did that was bad for the country , we are finally prospering again  ",0.05069352730565594,0.5779382166316006,0.034880638
135,Larrrs,@larrrs3,1597666152.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Let's all meet in Chinatown with Nancy Pelosi  ,0.07335782198475033,0.1531094696161938,0.023996167000000002
136,KillSwitchRiggs,@killswitchriggs,1597677959.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump You’re probably one of the pedos that’s about to go down, seems all the left are for naturalizing pedophilia. Can’t wait to see you crying in a few months  ",0.35850879345283104,0.5571975244239009,0.0449867
137,Ces Corleone,@mvpkhun,1597684116.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Mediocre liberal  ,0.08907719555842171,0.2691370514601891,0.034278433999999997
138,Matt Bussen,@a1topchef,1597691042.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump No, it's the Chinese virus you nazi terrorists!  ",0.5913287119890606,0.5272272346272903,0.90413755
73,DeplorableWoman,@MasksOff4,1597701790.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Hahahahaha most lethal?!  ,0.07599596750296422,0.1400034246149697,0.05896334
139,Minka Hasting,@MinkaHasting,1597724102.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Do you think binden could control a VIRUS no one can your so stupid TRUMP did not go out and make make the VIRUS neither did  ,0.636373047537655,0.5640558949689296,0.0861909
170,David Wade,@DavidWa87426247,1597741514.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump Shame yur so young n dumb ya might actually been somethin ? Nope just another ignorant sister !  ,0.9374524935329908,0.6189741123529124,0.77988404
171,Krista,@kbreemom,1597759252.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump You're completely 100% wrong! Stop falling for lying left controlled propaganda  ,0.7681247094810941,0.2709529821450352,0.78834677
172,Rj Tree Recycling,@tree_rj,1597763663.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump with you in a huge way.  
I am going to help everyone i can to register to vote (here in WI now helping register folks then off to NC) and read facts about the worst press in history! National Security Veterans on Trump: 'Most Reckless President in American History'The Republicans and conservatives signing this latest letter are taking a quite definite personal and career risk.theatlantic.com ",7.399401065234956e-08,0.4244370234647209,0.052541017999999995
173,Bryan Moe,@BryanMoe1,1597774821.0,1285302525944455168,"Replying to @the_resistor and @realDonaldTrump Resitortweetytwat is a Chinese bot, dodah dodah  ",0.03965124523104101,0.16131703111588672,0.031166816
174,Joseph Tipton,@JosephTipton02,1597795477.0,1285302525944455168,Replying to @the_resistor and @realDonaldTrump You’re pretty ignorant thinking that it’s trumps fault for this virus. Trump closed the borders and the dems fought him on it. Have you not realized the events of 2020 happen every election year? Only change is we have a pandemic this year which has a less than 1% mortality rate  ,0.010311263699900274,0.6942645646768357,0.049989495
