,username,userid,time,id,text,davidson,waseem,fountana
0,Jesse Kariuki,@KariukiJesse,31516201.0,1337372201662746625,Replying to @realDonaldTrump this tweet can't be real  ,0.6592409640391653,0.057109339705593835,0.094424516
3,Ravox Brasil ,@ravoxbrasil,1607669582.0,1337372201662746625,Replying to @realDonaldTrump GO TRUMP  ,0.1788159893170405,0.11412248796298705,0.016994596
5,Adrian Walsh,@ade__87,1607669588.0,1337372201662746625,Replying to @realDonaldTrump Bro give up  ,0.5420384542236361,0.07099943467846698,0.028632466000000002
124,"Dr. Madam Vice President, Ph. D",@caramelhunnyVa,1607669594.0,1337372201662746625,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
2,‏ًً,@someknew,1607669598.0,1337372201662746625,Replying to @realDonaldTrump ‘Everyone here has been going nonstop for months’ — CNN went inside the hospital Trump said was ‘fake’ 3:27219.6K viewsFrom NowThis ,0.009197463152868205,0.2357375335574341,0.2321571
125, Christine ,@BerensCb,1607669598.0,1337372201662746625,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
8,kaveh,@kaveh91899832,1607669611.0,1337372201662746625,Replying to @realDonaldTrump We believe @realDonaldTrump WON by a lot...  ,0.14269887549947344,0.4104382739816279,0.016657196000000003
128,Tres ,@Treasure530,1607669619.0,1337372201662746625,Replying to @realDonaldTrump My God. You are embarrassing.  ,0.15744194395031574,0.11736831732853407,0.62306327
129,BDB,@bdb1000,1607669655.0,1337372201662746625,Replying to @realDonaldTrump  GIF ,0.17062063331097255,0.10212028214486893,0.011419508
12,Tony Medeiros,@TonyMed50,1607669656.0,1337372201662746625,Replying to @realDonaldTrump #TimeLooserTrump  ,0.21953983475608324,0.10771200681599333,0.017997548000000002
13,KatWoman92,@katwoman92,1607669662.0,1337372201662746625,Care to make a wager on that?  ,0.167143622451245,0.13320366937910344,0.030268048999999998
130,Sandy Paws,@lagloriacubano,1607669662.0,1337372201662746625,"Replying to @realDonaldTrump ""The Biden-Harris partnership sends a powerful message"" #TimeLoserTrump Why TIME Chose Joe Biden and Kamala Harris as the 2020 Person of the YearBiden and Harris have shown that the forces of empathy are greater than the furies of division, writes Edward Felsenthaltime.com ",0.0008180297102007581,0.7385928782108677,0.034837652000000004
131,Nigel,@Zappafan202,1607669665.0,1337372201662746625,Replying to @realDonaldTrump You had nothing to do with helping anyone with a vaccine for COVID-19.  The manufacturers won’t even meet with you  ,0.06029715180152132,0.1282345233463907,0.07569788
132,The Mis'ess,@TheMissses,1607669666.0,1337372201662746625,Replying to @realDonaldTrump I thought it was about saving lives or is it your own selfish need to feel validated.  ,0.03954361363895728,0.13150832919749644,0.03908257
19,Nick Hedley,@nickhedley,1607669670.0,1337372201662746625,Replying to @realDonaldTrump How many Americans have died because you said it would “magically disappear”?  ,0.475813927276971,0.23456023160478015,0.025541632
133,𝖠𝗆𝖻𝖾𝗋,@AnIllicitWriter,1607669674.0,1337372201662746625,Replying to @realDonaldTrump  GIF ,0.17062063331097255,0.10212028214486893,0.011419508
134,Curious Bystander,@NCaDaPi,1607669684.0,1337372201662746625,"Replying to @realDonaldTrump Clearly, Biden did something right...

#TIMEPOY  ",0.082210231261236,0.3534413841906664,0.04404615
88,Jeff Tiedrich,@itsJeffTiedrich,1607669698.0,1337372201662746625,"Replying to @realDonaldTrump over 6,000 people have died of covid in the LAST TWO DAYS, you sociopathic buffoon  ",0.4989038165840574,0.22911620476855699,0.93132496
135,Chris #ImpeachAndConvict,@CJNWrites,1607669699.0,1337372201662746625,"Replying to @realDonaldTrump Vaccines are coming, in spite of Trump inaction during pandemic. @JoeBiden  ",0.3165062800475241,0.1606018556469097,0.0135634625
136,Herr Balsam,@Gedankenbalsam,1607669704.0,1337372201662746625,Replying to @realDonaldTrump  GIF ,0.17062063331097255,0.10212028214486893,0.011419508
23,Dexter,@DexterBoiGenius,1607669717.0,1337372201662746625,"Replying to @realDonaldTrump Here he goes again comparing his failed pandemic response to swine flu. 12500 died from swine flu, genius. Your numbers are abysmal.  ",0.11998181719046322,0.2144073816006854,0.040179018
