,username,userid,time,id,text,davidson,waseem,fountana
0,Srivatsa,@srivatsayb,31516201.0,1348313948118896640,"Compared to the kind of abusive words BJP leaders & supporters have used against PM Manmohan & Smt. Sonia Gandhi,

Compared to the kind of  language Modi has used against opponents including Jersey cow & 50 cr girlfriend,

Calling Modiji as #IdiotPM is still being respectful  ",0.0009729184458719123,0.4992963495209475,0.07455302
11,Suby #ReleaseSanjivBhatt‏‎‎,@Subytweets,1610278305.0,1348313948118896640,Replying to @srivatsayb Karma hits Modi  ,0.10486863884905852,0.18427073755589346,0.02625929
149,Jeepers&creepers,@Jeepers14312,1610278318.0,1348313948118896640,Replying to @srivatsayb   ,0.13817861291279307,0.03352323163434365,0.010623353
150,Jeepers&creepers,@Jeepers14312,1610278355.0,1348313948118896640,Replying to @srivatsayb   ,0.13817861291279307,0.03352323163434365,0.010623353
60,/^\PATIL,@mpwords,1610278357.0,1348313948118896640,Replying to @srivatsayb Still Pappu Is Our Favorite!  ,0.03373893426997737,0.09361025534479732,0.022590641
99,The Bong Temper ,@TheBongTemper,1610278362.0,1348313948118896640,Replying to @srivatsayb Yeh kissa sach ban gaya.. 0:4116.1K viewsFrom Teddy ,0.22987171301501536,0.1939208489130105,0.02268565
101,patriotic@indian,@akandabharat,1610278373.0,1348313948118896640,Replying to @srivatsayb Where is your master pappu is he back to India  ,0.09637486904917332,0.283235809662762,0.019000493
100,Kumar. (Main Bhi Kisan).,@kumarjena12345,1610278373.0,1348313948118896640,"Replying to @srivatsayb Idiot is still sounds respectable for Modi.

In reality Modi is a Gawar Prime Minister.  ",0.13084095360650025,0.5512818862056597,0.03940752
12,Inspector Clousee u,@sofasach,1610278378.0,1348313948118896640,Replying to @srivatsayb And more importantly the #Truth  ,0.060262357822086415,0.1933576670186858,0.02730744
13,Roop,@Roop14,1610278379.0,1348313948118896640,"Replying to @srivatsayb Mat do respect guys, mat bolo #IdiotPM  ",0.06826060629262135,0.1253060472554112,0.16643339999999998
61,Syed Lateef,@BeingsyedLateef,1610278379.0,1348313948118896640,Replying to @srivatsayb It's actually respect to the word idiot   ,0.09134352777741762,0.14542189735608368,0.3704191
63,Kiraak ßaccha,@kiraakbaccha,1610278405.0,1348313948118896640,Replying to @srivatsayb #DonateToAltnews  ,0.08421029509209406,0.10771200681599333,0.018750474
14,abhilasha,@abhilasha1508,1610278425.0,1348313948118896640,Replying to @srivatsayb Sir kiski jaisi Soch aapko yeh word respectful lag Raha to even I respect you more than you do to our PM  ,0.012507477857806528,0.34688718558328496,0.037824392000000005
15,@Turbo+Shift,@TurboShift1,1610278430.0,1348313948118896640,Replying to @srivatsayb But it's disrespectful to Idiots. Mani Shankar Aiyar described him to the Tee  ,0.09826338927453693,0.36790945348002135,0.04029468
64,I stand with farmers,@Gulshan7212,1610278479.0,1348313948118896640,Replying to @srivatsayb U r Rock  ,0.2401790759974916,0.0666341893314051,0.013808682
16,SHERNI,@SHERNI__,1610278504.0,1348313948118896640,Replying to @srivatsayb #IdiotPM  ,0.1157446639518267,0.10771200681599333,0.82659066
151,Vimalesh Pal,@VIMALESHPAL4,1610278523.0,1348313948118896640,Replying to @srivatsayb #IdiotPM  ,0.1157446639518267,0.10771200681599333,0.82659185
82,samscam,@its_ok_2,1610278534.0,1348313948118896640,Hn you can call modi  pappu also but now  idiot is trending..  ,0.4025772112444677,0.4793299530184968,0.024662135
97,Savita Vantagodi,@SavitaVantagodi,1610278547.0,1348313948118896640,"Replying to @srivatsayb That is what he is, an #IdiotPM...

Or rather senseless, ruthless, shameless PM world has ever seen...  ",0.35069077022794315,0.6778275492925887,0.58819884
102,Bhola,@Bhola36076552,1610278598.0,1348313948118896640,Replying to @srivatsayb Rahul Gandhi ka Italian mutra pi le  ,0.0847591282333293,0.3316019049112747,0.030324333999999998
2,вα∂ ℓιαя,@i_bad_liar_,1610278638.0,1348313948118896640,"Replying to @srivatsayb Please don't use 'Ji' with his name.. 
#IdiotPM  ",0.031505854960610966,0.11537012795251746,0.49271378
65,Mohamed Firthous,@mdfirthous_t,1610278681.0,1348313948118896640,Replying to @srivatsayb #IdiotPM  ,0.1157446639518267,0.10771200681599333,0.82659066
103,ಅಶ್ವತ್ಥಾಮ Ashwathama,@UrvaStore,1610278703.0,1348313948118896640,"Replying to @srivatsayb What was #MautKaSaudagar uttered by your dear Madame #AntonioMaino a.k.a #SoniaGandhi ? 

How much ever abuses you hurl against our PM, he comes out on top. The abuses only shows YOUR upbringing and culture, #BevarsiVatsa. 

#Modi will win 2024 hands down, again. Face that.  ",0.11689066923877715,0.5717267608655823,0.13545610000000002
18,Being Abbasi,@SahilAb03500332,1610278788.0,1348313948118896640,Replying to @srivatsayb #IdiotPM Modi forever  ,0.09089300738243444,0.16376610508553618,0.8242469000000001
69,Heil_Democracy,@kulkarni7654321,1610278800.0,1348313948118896640,Replying to @srivatsayb Ye sab mujhse bardaash nahi hota hai.. are they calling me idiotpm? I hope not.  ,0.03470869478109781,0.4313864576963306,0.049531575
19,ÑÄMRÄTÄ ,@namrata_4589_,1610278899.0,1348313948118896640,"Replying to @srivatsayb #IdiotPM
#IdiotPM
#IdiotPM
#IdiotPM  ",0.09531109980925201,0.05078604401700055,0.83364743
104,Cannane Irissappane ,@CannaneI,1610278950.0,1348313948118896640,"Replying to @srivatsayb and @hiteshamin9 Yeah #IdiotPM #IdiotPMModi 
are far respectful to him, when compared to his deeds.  ",0.0065557577653724,0.36403349876759056,0.04867599
20,Mukesh,@Mukesh15910852,1610278959.0,1348313948118896640,Replying to @srivatsayb #मेरा_पीएम_मेरा_अभिमान  ,0.19763466974187907,0.10771200681599333,0.02179988
105,Hrithik Jain,@Hrithik82295473,1610278962.0,1348313948118896640,Replying to @srivatsayb You forgot Rahul baba as pappu chota bheem  ,0.040954030034235776,0.15004536334501065,0.016748495
106,ஆதிவாசி,@Aadhivaasee,1610278984.0,1348313948118896640,Replying to @srivatsayb Hey congi joker!!  ,0.08969939805546856,0.06334959550642054,0.06818644
152,∅𝕍𝙀R̅𝕃O͑̈́́𝗥D̶,@SpicyWrath,1610279083.0,1348313948118896640,Replying to @srivatsayb   ,0.13817861291279307,0.03352323163434365,0.010623353
107,A Delhi citizen,@vikramdelhi,1610279122.0,1348313948118896640,Replying to @srivatsayb Koi idiot nahi bolega us bewakoof ko  ,0.32434834684987607,0.14741802067163268,0.045479032999999995
153,Gaurav Goyal,@VilanTurne_Hero,1610279202.0,1348313948118896640,"Replying to @srivatsayb @srivatsayb Whatever be the reason, the pilot should not have been so disrespectful. He should've at least said 'Idiot Ji.'  ",0.3225119748547009,0.3868153931514968,0.6261475999999999
21,Sayyed Akhter,@SayyedAkhter1,1610279244.0,1348313948118896640,"Replying to @srivatsayb #IdiotPM
#IdiotPM  ",0.1067312646568235,0.08591496801785159,0.788459
22,RisingFromDAshes,@Vella_Gladiator,1610279277.0,1348313948118896640,Replying to @srivatsayb Tu hutiya woh bhi perfect  ,0.014808464063615459,0.1856240025803344,0.021674024
