,username,userid,time,id,text,davidson,waseem,fountana
0,Donald J. Trump,@realDonaldTrump,31516201.0,1150381394234941448,"So interesting to see “Progressive” Democrat Congresswomen, who originally came from countries whose governments are a complete and total catastrophe, the worst, most corrupt and inept anywhere in the world (if they even have a functioning government at all), now loudly......  ",0.03443651334170991,0.4497334066946611,0.068690345
1,Donald J. Trump,@realDonaldTrump,1563087472.0,1150381394234941448,"Replying to @realDonaldTrump ....and viciously telling the people of the United States, the greatest and most powerful Nation on earth, how our government is to be run. Why don’t they go back and help fix the totally broken and crime infested places from which they came. Then come back and show us how....  ",0.006441800527329634,0.6915565065402095,0.039195225
3,(((Howard Forman))),@thehowie,1563087614.0,1150381394234941448,"Replying to @realDonaldTrump You, LITERALLY, can not help yourself being xenophobic and racist. Puerto Rico is NOT a country. And most were born IN our country. PLEASE stop....  ",0.3891888692926141,0.6223295364844786,0.74353063
30,Greg Hogben,@MyDaughtersArmy,1563087650.0,1150381394234941448,"Replying to @realDonaldTrump “He punches downwards – which a gentleman should, would, could never do – and every blow he aims is below the belt. He particularly likes to kick the vulnerable or voiceless – and he kicks them when they are down.”
http://mydaughtersarmy.org/why-do-some-british-people-not-like-donald-trump/…  ",0.7306017285492068,0.6254573123926772,0.019168794
17,Tony Posnanski,@tonyposnanski,1563087778.0,1150381394234941448,"Replying to @realDonaldTrump Omar, Tlaib, and AOC won their elections by getting the most votes and didn’t get help from Russia...

How about you, asshole?  ",0.07273790309583482,0.4079236299112678,0.22270559
32,Gailen David,@gailendavid,1563090321.0,1150381394234941448,"Replying to @realDonaldTrump Have you gathered Melania’s work permits, travel documents, visas, “modeling” contracts and other materials for public inspection as promised? We’re all still waiting.  ",0.0024157033879189395,0.4371535752919865,0.033969503
2,#ThePersistence,@ScottPresler,1563091654.0,1150381394234941448,"Replying to @realDonaldTrump The question is:

Why are we bringing people into our country who hate America & our Western freedoms?

There are 500,000 homeless Americans. We should help our own people before anyone else.  ",0.09283004285471162,0.4788429717295829,0.20601095
4,Adam Best,@adamcbest,1563092328.0,1150381394234941448,"Replying to @realDonaldTrump Pressley was born in Ohio, AOC in NYC (just like you, smart guy) and Tlaib in Detroit. So you must be talking about Omar, who survived her mom dying when she was 2, war in Somalia and a refugee camp to become a great public servant here. If that‘s not the American Dream, WTF is?  ",0.028921964746303225,0.7029498585007561,0.019737186
18,David Rothschild,@DavMicRot,1563093668.0,1150381394234941448,"Replying to @realDonaldTrump President Trump hates women, people of color, immigrants.  ",0.5451798869896708,0.292879018872296,0.3742978
5,lisastark35,@lisastark351,1563095106.0,1150381394234941448,"Replying to @realDonaldTrump You’re a racist prick. 

Anyone who can still support you is also a racist prick.  ",0.7993509370371159,0.4759097232840826,0.65301317
34,Eddie Donovan,@EddieDonovan,1563096547.0,1150381394234941448,"Replying to @realDonaldTrump Keep on keeping on, Mr. President. We are behind you.  ",0.09889618650587394,0.08013269319533907,0.02259567
37,Ryan Hill,@RyanHillMI,1563100274.0,1150381394234941448,"Replying to @realDonaldTrump ""came from countries whose governments are a complete and total catastrophe...”

What the h*ll are you talking about?

@AOC was born in the Bronx, the same place as your father.

She is an American.  ",0.8803841246840557,0.8113454686699242,0.038201522
35,J. Trot,@TrotTaBoston,1563100815.0,1150381394234941448,"No we aren't. ""We"" never have been. Trump lost the popular vote.  ",0.20933712813889505,0.17402835079679602,0.13756211
36,Offrah Dorone,@DoroneOffrah,1563101944.0,1150381394234941448,Where was Melania born?  ,0.34579351219244825,0.08749091426441348,0.07424985
47,Ben Prada,@BenPrada,1563105998.0,1150381394234941448,Golddigeria   ,0.10259381120092476,0.04845572449536142,0.02611852
11,Ellen,@Ellenapa,1563108139.0,1150381394234941448,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
48,Paulman,@spaulforty,1563112106.0,1150381394234941448,"If you're incinuating that Melanie was a gold digger, you are so wrong as she was making more money than most people with her successful modeling. Check out what a top model earns these days and weap.  ",0.13174588695229034,0.5245870299781492,0.02871086
49,Akhilesh,@asinghmd,1563112684.0,1150381394234941448,She was not a top model and learn how to spell weep and insinuating.  ,0.3462678783607482,0.1636360331298498,0.05772873
6,Dave Kilminster,@DaveKilminster,1563112884.0,1150381394234941448,"Replying to @realDonaldTrump Same shlt, different day...  ",0.06035961391995018,0.24264618628461998,0.04130104
39,Facts Do Matter,@WilDonnelly,1563113969.0,1150381394234941448,"Replying to @realDonaldTrump Well you are right that 3 of them were born in a country that now has a corrupt and inept regime. But they can't ""go back"" there. They already live there.  ",0.339998502313568,0.4735735646009995,0.050309513
7,David Jackson,@DavidJa99521621,1563115173.0,1150381394234941448,Replying to @realDonaldTrump I AGREE MR.TRUMP..  ,0.1493921597117797,0.10274926302469824,0.02614446
134,"If your mask is loose, you’re likely to lose it",@SkipperMe,1563116216.0,1150381394234941448,"Replying to @realDonaldTrump This was not written  by tRump.  Too many complete sentences, punctuation, multi-syllables, no ALL CAPS  screaming, etc. This was most likely written by Stephen Miller.  The Nazi hate monger behind the curtain. That's who we need to pay attention to.  ",0.021521156637375687,0.4236728206574604,0.13846326
41,Alex Cole,@acnewsitics,1563117051.0,1150381394234941448,Replying to @realDonaldTrump It's unbelievable how far Trump has degraded the office of the presidency.  ,0.07109315829102872,0.22610454023387455,0.05481545
43,Shirley C,@ghhshirley,1563117273.0,1150381394234941448,"Replying to @realDonaldTrump Long after Trump is gone, history will remember the cowards, on both sides of the aisle, who allowed this tragedy of a presidency to continue, unchecked. At *minimum* #CensureTrump!  @senatemajldr @NRSC @HouseGOP @SenSchumer @DickDurbin @SenateDems @HouseDemocrats @SpeakerPelosi  ",0.0200105563805462,0.5616810839973075,0.024975597999999998
22,Jules Morgan ,@glamelegance,1563117356.0,1150381394234941448,"Replying to @realDonaldTrump Not only is #DonaldTrump telling black and brown people to go back where they came from, he assumes they are from crime infested places. 
#TrumpIsARacist  ",0.565013731149566,0.5026892838938319,0.06435877
45,Ryan Hill,@RyanHillMI,1563117786.0,1150381394234941448,"Replying to @realDonaldTrump ""came from countries whose governments are a complete and total catastrophe...”

You’re absolutely correct! The country they came from (USA) is run by a corrupt would-be tinpot dictator. 

@AOC was born in the Bronx, the same place as your father.  ",0.04924817406387577,0.5642748662646384,0.03863831
44,flo garcia,@flogarcia19,1563119040.0,1150381394234941448,DONT FORGET  “WE THE PEOPLE VOTED FOR THIS MAN !!! VOTE RED!!  NO LONGER BLUE  FOR ME  ,0.7972708956964861,0.07460780717881613,0.1201778
56,Jennie Asᴛᴀʀᴛɪᴇʟ™ ✪ Ishtar Aset Inanna Morningstar,@Astartiel,1563120565.0,1150381394234941448,"Replying to @realDonaldTrump Racist rapist Putin-puppet Individual 1 wants us all talking about what a racist he is because he thinks we'll also forget that he's a monster who separates and cages asylum seekers in inhumane conditions, even children, while also trying to round up certain groups of immigrants.  ",0.8526814493357829,0.6782449224600456,0.35126090000000004
61,Ali Nazeer,@beinspired5,1563122183.0,1150381394234941448,Replying to @realDonaldTrump He’s making racism new normal in US.  ,0.04831239732546745,0.21207343270936072,0.1992181
42,Carol D. Boberg,@CarolDBoberg,1563122791.0,1150381394234941448,He is NOT my president!  ,0.2159542926424172,0.1298170253522284,0.7359063
62,Dr. CatLovesMouse ,@ATziras,1563123076.0,1150381394234941448,"I was born and raised in the deep south. In some parts of the country Racism isn't the ""new normal"" it never stopped being normal. Trump is just giving it a megaphone.  ",0.8187730294312819,0.3760555804375054,0.4261759
58,SUZANNE,@1963SMR,1563123121.0,1150381394234941448,"He is the President of the United States of America.
Trump 2020  ",0.04110225404468423,0.32263594074685786,0.029169958
63,Deena Fredenburg,@Deenathing,1563123342.0,1150381394234941448,"Replying to @realDonaldTrump Come election day women will remember this Tweet, Hispanics will remember this tweet, minorities will remember this tweet! And that's a good thing.  ",0.002978067322965852,0.06017551114101469,0.033655952999999995
64,Terri,@TerriVillarreal,1563124240.0,1150381394234941448,Yes and we will vote RED  ,0.180178019536148,0.06068980626389193,0.05573692
258,Alex Cole,@acnewsitics,1563124300.0,1150381394234941448,"Replying to @realDonaldTrump If there was any doubt until today that Orange Donald was a racist, He cleared that up with his tweets  ",0.4985076964185409,0.2112259586311498,0.03268705
23,Alex Cole,@acnewsitics,1563124451.0,1150381394234941448,Replying to @realDonaldTrump Fun fact - most black American’s families have been here longer than Trump's.  ,0.05492326366834724,0.3686633600409832,0.024046944
75,Kash’s Stache,@anackashi12,1563125981.0,1150381394234941448,Can I ask a legit question? Why? I just want a clear rationale why someone who is this psychologically inept is in your list of people to back up...what has he done for you?  ,0.012925145356010224,0.6746619285696792,0.26186934
12,Sabrina Schneibel,@SabrinaSchneibe,1563126458.0,1150381394234941448,Replying to @realDonaldTrump I’m sorry but I must be missing the  racism in this post. He’s telling them to stop trying to run our government like their country of origin was ran because it sucks! That would be the reason why themselves fled or their family fled. I’m missing the problem  ,0.7413607581789061,0.6789292110661768,0.12600963
259,Ren Rem,@RenRem1,1563126539.0,1150381394234941448,The statement was clearly racist.. and if you can't comprehend that then you are either wilfully ignorant or you did have a very thorough curriculum regarding US History covering the 1950s and 1960s  ,0.6601921192461295,0.5737189716096126,0.036407936
65,Dr. Jennifer Cassidy,@OxfordDiplomat,1563126707.0,1150381394234941448,"Replying to @realDonaldTrump “No one is born hating another person because of the colour of his skin, or his background, or his religion. People must learn to hate, and if they can learn to hate, they can be taught to love, for love comes more naturally to the human heart than its opposite” - Nelson Mandela  ",0.8022326134405655,0.67307011621516,0.045533534
67,Beth,@bourgeoisalien,1563127093.0,1150381394234941448,Replying to @realDonaldTrump You are a rapist  ,0.6093362081745543,0.2974645000339026,0.85160464
66,"Fionna O'Leary, ",@fascinatorfun,1563127233.0,1150381394234941448,"I agree with this wholeheartedly.

But we become our lesser selves through the lessons we ALSO learn throughout life,

As Trump has done.

Sometimes I wonder about him.

What has made him this small and quite cruel person?  ",0.7628886475066795,0.30408662507023365,0.19166827
83,Dr. Jennifer Cassidy,@OxfordDiplomat,1563127699.0,1150381394234941448,"I wonder the exact same Fionna. And to that I have no answer on what makes or has created him this way. But what I do know it takes a village for a man or woman like that to gain, keep and perpetrate power as has been shown here. There are so many forces at play   ",0.04481286940579154,0.6900425297018319,0.05155792
70,ValkKai,@ValkKaija,1563127704.0,1150381394234941448,  ,1.7657473994997902e-130,0.01813247552960133,0.010068049
71,The Alex Nevil Wears A Mask,@TheAlexNevil,1563128433.0,1150381394234941448,"Replying to @realDonaldTrump Well that’s it then, isn’t it? You’ve just had your Fifth Avenue moment, in front of the entire world. And you’re right: you won’t lose any of the people who worship or, if you’re the GOP, fear you. You’ve made your point. Any chance you could now just fuck right off?  ",0.9878953932663022,0.5404110894208014,0.5152113
84,Jane ,@localnotail,1563128462.0,1150381394234941448,"I have the picture this comes from on my fridge to remind me of the message every day. 

#MoreInCommon

I don't think Trump had many friends to play with. I don't know if that's why he became a sociopath, or because he always was #ITMFA  ",0.003212100802781853,0.3708380378804788,0.088908374
13,#TheResistance,@stockguy61,1563128860.0,1150381394234941448,Replying to @realDonaldTrump This Is The First One That Needs To Get Deported!!  ,0.06513783157748203,0.09398647514223044,0.09429867
261,𝔸𝕝𝕗𝕣𝕖𝕕𝕠 ℕ𝕒𝕣𝕔𝕚𝕤𝕠,@_AlfredoNarciso,1563129042.0,1150381394234941448,Replying to @realDonaldTrump Your mouth is just a slack anus with dysentary. You are just a large cancerous rectum that has been f***ed by Putin’s HPV infected d***. #TrumpIsARacist  ,0.4261743360112306,0.4636605378740742,0.23852596
40,Howard Lawrence Thompson,@HowardL75454622,1563131359.0,1150381394234941448,"Yes they can. Just get on a plane, that simple.  ",0.2807284336603179,0.2661604358107024,0.04148063
52,Jayel Willow,@JayelWillow,1563131438.0,1150381394234941448,"Hey, genius, three of them were BORN IN AMERICA.  ",0.33982196287590194,0.14870075886686066,0.24255589999999996
88,Chief Art Acevedo,@ArtAcevedo,1563137787.0,1150381394234941448,"Replying to @realDonaldTrump If you aren’t offended by the this tweet, you aren’t a patriot, nor a Christian, nor a person of any faith or any legitimate religion on Earth. This is the most un-American statement a POTUS has made in modern times. This is a truly sad day and a new now for our Nation.  ",0.00044921346971102383,0.7860419210936321,0.045651357999999996
135,Chief Art Acevedo,@ArtAcevedo,1563137933.0,1150381394234941448,"Replying to @realDonaldTrump God is watching & will hold us accountable not only for what we say and do, but also for what we don’t say and don’t do. The tweet is indefensible and something you might expect from a 5th grader in the sandbox, but not from the office holder who is supposed lead the free world.  ",0.004334624245325265,0.5537746627531528,0.04715653
14,Athena L. Lark,@athenallark,1563138116.0,1150381394234941448,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
136,Chief Art Acevedo,@ArtAcevedo,1563138387.0,1150381394234941448,"The most disturbing thing about this, is that way too many Americans will tolerate the behavior, excuse it, compartmentalize, remain silent and most disturbing embrace and share the views expressed.  ",0.2988347136900962,0.3212648543713981,0.062197287000000004
137,XxNickxX,@XxNickxX18,1563139457.0,1150381394234941448,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
72,Richard L Pastore,@RichardLPastore,1563139729.0,1150381394234941448,"Bluntly telling four Americans, born and raised in the USA, to go back to where they came from, because they’re not white; is jaw-dropping racism that should never have been spoken by a President.

This will never be forgotten by history.  ",0.4119638465283834,0.4694894922244414,0.32198614
82,haley,@HaleyMarina_Mi,1563139953.0,1150381394234941448,A politician trying to make the government better! Whoa! The audacity!  ,0.11877045788870726,0.084136154228848,0.06720232
138,Chicago Rower,@ChgoRower,1563142911.0,1150381394234941448,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
139,KaliKalz,@KalzKali,1563143195.0,1150381394234941448,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
90,Analog Chew,@2inchtape,1563143438.0,1150381394234941448,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
158,Nancy,@DragonOfChanges,1563143480.0,1150381394234941448,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
159,Abandoned America ,@abandonedameric,1563143544.0,1150381394234941448,Replying to @realDonaldTrump It doesn't matter where they're from. The American people voted them in to serve our government as best they can and if you weren't such a sorry excuse for a person you'd have some respect for that. If you had any respect for others maybe people would have a shred of it for you  ,0.02698986082689363,0.4017564449727967,0.34739444
53,Howard Lawrence Thompson,@HowardL75454622,1563143571.0,1150381394234941448,I could careless where they were born. The hateful 4 need to go. Out to destroy American way of life. Path to Socialism and total government control.  ,0.4042334320716576,0.486004635591111,0.09788941599999999
160,Edgar,@Edgdom736,1563144627.0,1150381394234941448,Replying to @realDonaldTrump @deAdder #repost  ,0.10918207264906922,0.2405616130379523,0.05152778
161,Allie B,@alliefb,1563144667.0,1150381394234941448,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
162,XenaWarrior6,@AnnieRoegele,1563144895.0,1150381394234941448,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
57,MuellerMarco,@TheRealMarcoMue,1563148088.0,1150381394234941448,"He just wants those bastards who have been raised by people from bad and evil counties to go back from were their origin is and fix those corrupt government, rather than trying to bring down the US onto the level of the country of their origin.  ",0.2460675259866769,0.3813346699382236,0.2132792
95,Jeffrey We Voted Out That Gameshow Clown Wright,@jfreewright,1563149356.0,1150381394234941448,"Replying to @realDonaldTrump Funny, this is basically what the Founding Fathers did, ya semi-literate, short-eyed, beshitted, racist, daddy’s failure delinquent.  ",0.5084049160252851,0.19364387910219388,0.8803880999999999
96,Cormac,@RealCormacE,1563149590.0,1150381394234941448,"Drag him, my man! GIF ",0.7463962676168963,0.04790397858379029,0.64479166
68,Charles L. Barnes Jr,@Charles47072141,1563150066.0,1150381394234941448,"The problem is the crime ridden country that At least,three,of those four women come from,is the United States! The country they represent,in congress!  ",0.5816604162281707,0.24558929970750015,0.09647797
97,KDE,@513Ellis,1563150217.0,1150381394234941448,"Replying to @realDonaldTrump Best President ever in my life time, #Trump2020  ",0.3342544793496648,0.15299922600674928,0.032369856
103,Matthew Karsten,@ExpertVagabond,1563152009.0,1150381394234941448,"Replying to @realDonaldTrump Says the man whose mother was born in Scotland. @AOC’s parents were born in America. Technically she’s more American than you. 

PS. YOU are the President of Puerto Rico you moron...  ",0.39676839940602093,0.8121581937209723,0.5378477
267,Vera - Voting Blue To Save America - #Biden2020,@prayerfeathers,1563153694.0,1150381394234941448,Replying to @realDonaldTrump   ,0.17570862623433728,0.03352323163434365,0.013172911499999999
98,SomethingIsFischy,@edfischman,1563154514.0,1150381394234941448,Born yesterday.  ,0.2107346361520898,0.050543296494624065,0.030601444
15,Juliette Monroe,@JulietteMonroex,1563155865.0,1150381394234941448,"Replying to @realDonaldTrump These women hate America,  fact  ",0.9509044849662536,0.3684779889220024,0.89066046
