,username,userid,time,id,text,davidson,waseem,fountana
0,Juanita Broaddrick,@atensnut,31516201.0,1336299958312587265,I’ve heard of no one getting the flu.  I guess it died from the China virus.  ,0.8103828376346831,0.17451016316967258,0.04917595
1,One with the Water® ,@1withthewater,1607413980.0,1336299958312587265,Replying to @atensnut Ha ha! Covid killed the flu! Nanny nanny boo boo.  ,0.403409614332126,0.11194221674314772,0.019546466000000002
77,SzQCrespo,@CrespoSusie,1607414009.0,1336299958312587265,"Replying to @atensnut My grandson, son, and his wife just got over it. Their covid test showed flu.  ",0.11320856797937387,0.2363040389451175,0.042541195
2,BJ,@bjames280961,1607414013.0,1336299958312587265,Replying to @atensnut Flu is officially passé for the whole of 2020.  ,0.4518939127621288,0.1861996569569564,0.017070021
3,Falcone Eastham,@FalconeEastham7,1607414037.0,1336299958312587265,Replying to @atensnut Everybody was Kung Flu fighting  ,0.3694816181430998,0.11290416371157135,0.89696264
4,Hard Core American,@Truepatriot81,1607414042.0,1336299958312587265,"Replying to @atensnut There's not room for both of them, covid-19 won the bid .  ",0.07400277474008421,0.18126292370085534,0.01639032
78,CensoredbyJack,@FreeToSpeak2021,1607414091.0,1336299958312587265,Replying to @atensnut The flu won’t get Fauci the publicity he needs to stay relevant.  ,0.29409000664087825,0.19370098987411835,0.026269626
46,Weapon of War,@WTF_Bober,1607414101.0,1336299958312587265,"Replying to @atensnut I just said that on Facebook yesterday. I was then called a ""covidiot"" by some lovely woman. 
I responded by calling her a c.nt. I'm now serving a 3 day spanking  ",0.3281834885614385,0.3684266247159591,0.061046325
79,Patriot Party Member Nicole,@NicoleMangiame1,1607414138.0,1336299958312587265,Replying to @atensnut And the US death toll remains normal or below last year   ,0.0411230873101616,0.2780614272855593,0.020099578
80,Cali GirlToOkie,@GooseGanderMom,1607414139.0,1336299958312587265,Replying to @atensnut Nobody is dying of anything else except Covid...huh...  ,0.09410802798185627,0.3408724615658795,0.04566073
52,Michael Phill Charles,@phill_charles,1607414179.0,1336299958312587265,Replying to @atensnut That's true..... The virus is bad  ,0.15419568012647633,0.4112352231941469,0.044683658
53,Decadent Stage,@ConnorRoy14,1607414190.0,1336299958312587265,"Replying to @atensnut Juanita check this out!!!!

This company is making a killing during covid and (3) of them are now on the Biden team....hmmmm Pine Island Capital PartnersOur firm has combined an experienced and proven investment team with a group of highly specialized Washington, D.C.-based partners. We're structured to identify and capitalize on opportunities in an...pineislandcp.com ",4.229076160048586e-05,0.6551006621050504,0.0109269945
5,Markay,@Markay100,1607414211.0,1336299958312587265,Replying to @atensnut If during every flu season people were more mindful and were washing their hands and distancing themselves from people who do have flu and even the common cold everyone would benefit.  ,0.002682683537947727,0.3769920365248137,0.029211754
6,Michelle,@MichelleMomfor3,1607414226.0,1336299958312587265,Replying to @atensnut Just saw a neighbor posted last night how shocked the pharmacist was when she went to pick up the Tamiflu for her child “I guess the flu is still around.”  ,0.0050919372724934145,0.6240818016281741,0.035533447
81,opinionwithoutmalice,@opinionwithout1,1607414226.0,1336299958312587265,Replying to @atensnut Finally found the cure for the flu.  ,0.04119522736777974,0.09166557138694682,0.024949753999999998
82,Dragonfly,@Dragonf67391648,1607414251.0,1336299958312587265,"Replying to @atensnut Oddly, when I mention this point, I'm told that the flu is down by 95% because everyone is wearing a mask. Not kidding   ",0.3164764757288691,0.2854579237507657,0.09203387
75,HAL9000,@hal9000now,1607414289.0,1336299958312587265,Replying to @atensnut We are seeing the flu but not in typical numbers. Flu is a droplet disease.  Masks work.  People are keeping their hands clean.  Australia had a low flu numbers during their winter as well.   Masks reduce COVID spread but it has an airborne component thus more contagious than flu  ,0.12660048530854673,0.525377212083282,0.021267904
70,UrselB,@b_ursel,1607414387.0,1336299958312587265,"Replying to @atensnut It’s early yet, but masks, hand washing, and social distancing do help reduce flu cases.  The flu just isn’t political, although it also originates in China.  But, shhh, don’t tell anyone.  ",2.253797612390219e-05,0.3892400545571652,0.020997718
7,Prez Elect John,@fynwitmi,1607414405.0,1336299958312587265,Replying to @atensnut They can’t release it this year yet. January  ,0.010406035431596586,0.14051030273004972,0.03758694
83,DadBrady-UgChump-GulagBound,@trumpgender,1607414429.0,1336299958312587265,Replying to @atensnut From the CDC's own site yesterday  ,0.0623409752277317,0.07708152934843734,0.025213681
8,Marshall Lawler,@HappyFella17,1607414444.0,1336299958312587265,Replying to @atensnut #TrumpVirusDeathToll282K  ,0.09131271336751344,0.10771200681599333,0.080334
84,Greer Craig,@rockmangc,1607414501.0,1336299958312587265,"Replying to @atensnut The flu expired from Covid, what a great tweet!. Heard the vaccine is being made by a company that is owned by the same people that freely gave us the Chinese Disease.
That's right. China. You have contacts greater than I. Check this out for all the ""small time"" tweeters. Thanks.  ",0.0016017729774897552,0.4197545216018797,0.028723473
