,username,userid,time,id,text,davidson,waseem,fountana
0,John McCallum,@johncmack,31516201.0,1338574268154646528,Replying to @realDonaldTrump I heard this guy is your new boss! GIF ,0.4501697653479476,0.12785489621879376,0.033743392999999997
3,Candour99,@Candour99,1607956160.0,1338574268154646528,"Replying to @realDonaldTrump Trump and his supporters have their next chance to acknowledge the reality that Joe Biden is the president-elect, as the Electoral College votes. But they’re not ready. Don’t count on the dead-enders to do any such thing, but the vote will be one more huge blow to their effort.  ",0.005193339426709098,0.5302593441431283,0.03365512
5,Jessica Lauren Vine,@JessicaLVine,1607956179.0,1338574268154646528,Replying to @realDonaldTrump Dominion should never be used again!  ,0.07341549693218452,0.18859371951176546,0.7733131999999999
22,Dr. Jeffrey Guterman,@JeffreyGuterman,1607956200.0,1338574268154646528,Replying to @realDonaldTrump What a lovely day. Joe Biden will be elected today. And you tweet crap.  ,0.05262422457772909,0.14805135572248715,0.53213835
26,Mz. Cabibi,@SoulofDemocracy,1607956201.0,1338574268154646528,Replying to @realDonaldTrump You lost.  Bigly.  Biden is the next President. GIF ,0.4699426275956863,0.40697003623560457,0.016571598
28,𝑱𝒊𝒎𝒎𝒚,@CFCJIMMY14,1607956209.0,1338574268154646528,Replying to @realDonaldTrump I speak for all true American citizens when I say that we’re so so happy that @JoeBiden won this election!! That 45th President is a disaster and a huge embarrassment to the American People and the World that looks on!!  ,0.02791526549127214,0.4253768305203658,0.2106439
41,Philip N Cohen,@familyunequal,1607956209.0,1338574268154646528,Replying to @realDonaldTrump Who's going to tell him about the electoral college  ,0.26235204568467424,0.10639795112947896,0.016544833999999998
44,Palmer Report,@PalmerReport,1607956214.0,1338574268154646528,Replying to @realDonaldTrump Fact check: false.  ,0.13228651973308075,0.09877152846699597,0.03548288
160,Princess Danielle,@julina_erial,1607956292.0,1338574268154646528,"Replying to @realDonaldTrump God bless America  
Mr trump, God's choosen General. 
He will definitely continue his 2nd term to complete the WAR Against the enemies. 
Kingdom of Heaven decreed, 
hail mr president we could hear enemies' shiverings from maine to san Francisco#princeda  ",0.0010763347319936206,0.5099272581420745,0.053523075
1,Icculus The Brave,@FirenzeMike,1607956301.0,1338574268154646528,Replying to @realDonaldTrump Weird....you just officially lost Michigan From Icculus The Brave ,0.11983996785235955,0.3388890256462729,0.034809843
85,Steven Greenhouse,@greenhousenyt,1607956317.0,1338574268154646528,"Replying to @realDonaldTrump We tell our children to be gracious when they lose, not to be sore losers

Even since Trump lost to Biden, he's been the world's worst sore loser. Day after day, he throws dishonest tantrums on Twitter. Such a vindictive sore loser is the worst possible example for America's kids  ",0.013204942363737357,0.4412381877637223,0.095079966
4,Pàdair ,@Pada1r,1607956340.0,1338574268154646528,The mob that shouted Russia for years with no evidence are trying everything they can to cover up fraud right under their noses.  ,0.8060921653137137,0.5425803328617913,0.09655549
86,Mohamed Enieb,@its_menieb,1607956359.0,1338574268154646528,Replying to @realDonaldTrump Daily reminder : Joe Biden won the election by a landslide  ,0.050866616387122136,0.3806036613058283,0.014065186499999998
49,Jeff Tiedrich,@itsJeffTiedrich,1607956362.0,1338574268154646528,Replying to @realDonaldTrump tell me more about these election fraudsters. are they in the room with us right now  ,0.6783060435196229,0.3844088417287221,0.04753124
